reseña,sentimiento
"Dragon Ball Z es increíble, la animación y las peleas son épicas",positivo
"Me encanta la transformación de Goku en Super Saiyajin",positivo
"La saga de Cell fue muy emocionante y bien narrada",positivo
"Los personajes tienen una gran evolución a lo largo de la serie",positivo
"La música de Dragon Ball Z es motivadora y emocionante",positivo
"Me gusta mucho la relación de Gohan con su padre",positivo
"Las batallas contra Freezer son de lo mejor del anime",positivo
"La saga de Majin Buu fue divertida y entretenida",positivo
"Dragon Ball Z siempre me emociona, nunca me aburre",positivo
"Es una obra maestra del anime shonen",positivo
"Los villanos son muy carismáticos e inolvidables",positivo
"Las peleas de Vegeta siempre son intensas",positivo
"La amistad y el trabajo en equipo están muy presentes",positivo
"Tiene una gran cantidad de momentos épicos",positivo
"Siempre me motiva a superarme como Goku",positivo
"La serie es demasiado larga y se siente repetitiva",negativo
"No me gusta que haya tantos capítulos de relleno",negativo
"El ritmo de la historia es muy lento",negativo
"Los diálogos a veces son aburridos y sin sentido",negativo
"Las peleas tardan muchos episodios en resolverse",negativo
"Algunos personajes secundarios no tienen desarrollo",negativo
"La animación en ciertas sagas es muy mala",negativo
"Las repeticiones de escenas cansan demasiado",negativo
"Demasiados gritos y transformaciones innecesarias",negativo
"La historia se vuelve predecible después de un tiempo",negativo
"La saga de Garlic Jr fue aburrida",negativo
"No me gusta que siempre Goku sea el que salve todo",negativo
"El diseño de algunos personajes es muy simple",negativo
"Se siente estirada solo para durar más capítulos",negativo
"Me parece sobrevalorada en comparación con otros animes",negativo
